Time,City_Name,Healthy,Zombies,Dead,Civil,Military,Medics
1683570851.965853,Zeidel Borough,355,12,38,322,20,13
1683570851.9808462,Mackers City,565,16,0,521,32,12
1683570852.0869677,Gulans Town,379,4,0,352,15,12
1683570852.0879612,Albono Hills,177,5,0,168,6,3
1683570852.0994744,Nogales Village,392,7,0,364,20,8
1683570852.1004684,Zeidel Borough,355,12,38,322,20,13
1683570852.105482,Mackers City,565,16,0,521,32,12
1683570852.2087018,Zeidel Borough,355,12,38,322,20,13
1683570852.2096934,Gulans Town,379,4,0,352,15,12
1683570852.2257864,Nogales Village,392,7,0,364,20,8
1683570852.227797,Albono Hills,177,5,0,168,6,3
1683570852.227797,Mackers City,565,16,0,521,32,12
1683570852.315871,Zeidel Borough,355,12,38,322,20,13
1683570852.3339014,Gulans Town,379,4,0,352,15,12
1683570852.3354986,Nogales Village,392,7,0,364,20,8
1683570852.34991,Albono Hills,177,5,0,168,6,3
1683570852.34991,Mackers City,564,17,0,520,32,12
1683570852.4448404,Nogales Village,392,7,0,364,20,8
1683570852.4574733,Zeidel Borough,354,13,38,321,20,13
1683570852.4584725,Gulans Town,379,4,0,352,15,12
1683570852.4604726,Albono Hills,177,5,0,168,6,3
1683570852.4614716,Mackers City,563,18,0,519,32,12
1683570852.569069,Albono Hills,177,5,0,168,6,3
1683570852.570067,Nogales Village,392,7,0,364,20,8
1683570852.570067,Gulans Town,379,4,0,352,15,12
1683570852.5710702,Mackers City,563,18,0,519,32,12
1683570852.5820649,Zeidel Borough,354,13,38,321,20,13
1683570852.6932573,Zeidel Borough,354,13,38,321,20,13
1683570852.6932573,Gulans Town,379,4,0,352,15,12
1683570852.7064638,Albono Hills,177,5,0,168,6,3
1683570852.70847,Mackers City,562,19,0,518,32,12
1683570852.7094646,Nogales Village,392,7,0,364,20,8
1683570852.8173852,Mackers City,562,19,0,518,32,12
1683570852.8183827,Gulans Town,379,4,0,352,15,12
1683570852.8193855,Zeidel Borough,354,13,38,321,20,13
1683570852.8333814,Nogales Village,392,7,0,364,20,8
1683570852.8343847,Albono Hills,177,5,0,168,6,3
1683570852.9431458,Nogales Village,392,7,0,364,20,8
1683570852.9431458,Albono Hills,177,5,0,168,6,3
1683570852.944146,Zeidel Borough,354,13,38,321,20,13
1683570852.944146,Gulans Town,379,4,0,352,15,12
1683570852.9581394,Mackers City,561,20,0,517,32,12
1683570853.0684376,Gulans Town,379,4,0,352,15,12
1683570853.0684376,Zeidel Borough,353,14,38,320,20,13
1683570853.0694427,Albono Hills,177,5,0,168,6,3
1683570853.0724435,Mackers City,560,21,0,516,32,12
1683570853.073458,Nogales Village,392,7,0,364,20,8
1683570853.1765504,Gulans Town,379,4,0,352,15,12
1683570853.1925533,Mackers City,560,21,0,516,32,12
1683570853.1935508,Nogales Village,392,7,0,364,20,8
1683570853.1945484,Zeidel Borough,352,15,38,319,20,13
1683570853.195555,Albono Hills,177,5,0,168,6,3
1683570853.300017,Gulans Town,379,4,0,352,15,12
1683570853.3140726,Mackers City,559,22,0,515,32,12
1683570853.3170683,Nogales Village,392,7,0,364,20,8
1683570853.3170683,Zeidel Borough,352,15,38,319,20,13
1683570853.3180714,Albono Hills,176,6,0,167,6,3
1683570853.4231198,Mackers City,558,23,0,514,32,12
1683570853.4241228,Gulans Town,377,6,0,350,15,12
1683570853.4391148,Albono Hills,176,6,0,167,6,3
1683570853.4401107,Nogales Village,392,7,0,364,20,8
1683570853.4421132,Zeidel Borough,350,17,38,317,20,13
1683570853.5483055,Albono Hills,176,6,0,167,6,3
1683570853.5493073,Mackers City,558,23,0,514,32,12
1683570853.5493073,Gulans Town,377,6,0,350,15,12
1683570853.5503223,Nogales Village,392,7,0,364,20,8
1683570853.5704951,Zeidel Borough,349,18,38,317,20,12
1683570853.6747067,Mackers City,555,26,0,511,32,12
1683570853.6757085,Gulans Town,377,6,0,350,15,12
1683570853.6786993,Albono Hills,176,6,0,167,6,3
